IDRSSD,RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDB556,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,TEXT3549,TEXT3550,TEXT3551,
724744,,,,,,,,,,,,,,,,,,,0,5592,275,29280,0,5514,4576,0,0,6553,0,0,0,0,0,11346,0,0,CTB NET ANNUITY VALUE,,,
724904,,,,,,,,,,,,,,,,,,,0,405,0,6408,0,3460,1767,0,0,2543,0,0,0,0,0,0,0,0,Loan servicing receivable,,,
724940,,,,,,,,,,,,,,,,,,,0,0,0,2638,0,4,0,0,0,297,0,0,0,0,0,2337,0,0,,,,
725077,,,,,,,,,,,,,,,,,,,0,1619,2424,11119,0,2703,1711,0,0,1630,0,0,0,0,0,2216,527,0,Deferred Directors Fees,,,
725732,,3002,12619,113118,,22391,,,,39746,,1534,,,0,34926,0,434,,3002,,,,,,,,,,,,,,,,,,,,
725741,,,,,,,,,,,,,,,,,,,0,534,0,7956,198,251,0,0,0,860,0,0,0,0,0,4081,1056,1174,,,,
726458,,,,,,,,,,,,,,,,,,,0,960,0,2520,0,101,0,0,0,613,0,0,0,0,0,846,0,0,,,,
726953,,,,,,,,,,,,,,,,,,,,14579,757,21255,1931,2682,,,,3237,,,751,,0,0,0,0,,,,
727174,,,,,,,,,,,,,,,,,,,0,8072,0,17272,0,4958,2998,0,0,4242,0,0,0,0,0,0,0,0,Federal Home Loan Bank Lender Risk Account,,,
728948,,,,,,,,,,,,,,,,,,,0,2135,1212,10544,520,1247,0,0,0,5950,0,0,0,0,0,0,0,0,,,,
728957,,,,,,,,,,,,,,,,,,,0,311,0,8868,0,391,0,0,0,2520,0,227,0,0,0,5646,0,0,,,,
729011,,,,,,,,,,,,,,,,,,,0,619,1623,15970,421,558,0,0,0,2094,0,0,0,0,0,11076,0,0,,,,
729057,,,,,,,,,,,,,,,,,,,0,446,0,1347,163,177,0,0,0,724,0,0,0,0,0,0,0,0,,,,
729178,,,,,,,,,,,,,,,,,,,0,1630,903,7947,265,322,0,0,0,1457,0,0,0,0,0,1686,0,1949,Federal Income Tax,,,
729310,,,,,,,,,,,,,,,,,,,0,8908,3842,64379,9902,22465,0,0,0,4197,4742,0,0,0,0,24967,0,0,,,,
729842,,,,,,,,,,,,,,,,,,,0,1073,0,4414,114,131,0,0,0,2232,0,0,0,0,0,978,0,0,,,,
729945,,,,,,,,,,,,,,,,,,,0,2113,825,10020,210,458,0,0,0,1274,0,0,0,0,0,2282,0,3068,,,,
731050,,,,,,,,,,,,,,,,,,,0,233,742,6637,46,50,0,0,0,2198,0,0,0,0,0,3414,0,0,,,,
731247,,,,,,,,,,,,,,,,,,,,17459,21976,68850,2444,8129,2200,2750,,21286,,,,,0,0,0,0,Trust Income Receivable,Tax Credits Purchased,,
731957,,,,,,,,,,,,,,,,,,,0,5,139,265,20,43,0,0,0,78,0,0,0,0,0,0,0,0,,,,
732178,,,,,,,,,,,,,,,,,,,62,1008,1419,9271,577,2498,0,316,916,4346,0,140,30,0,0,0,0,0,,"CREDIT CARD CLEARING, CDARS",JHA FUNDING,
732253,,,,,,,,,,,,,,,,,,,0,599,0,8410,286,643,0,0,0,3869,0,0,0,0,0,1683,0,1616,,,,
732637,,,,,,,,,,,,,,,,,,,,251,2166,6307,,515,232,,,514,,,,,0,2861,0,0,Investment in subsidiary,,,
732758,,,,,,,,,,,,,,,,,,,0,1772,2327,25606,855,3502,0,0,0,2485,0,0,0,1384,0,11292,0,4228,Accrued Direct Merchant,,,
732918,,,,,,,,,,,,,,,,,,,,18644,1791,64515,3184,12659,,,,8418,,,,,0,18541,0,4462,,,,
732954,,,,,,,,,,,,,,,,,,,0,0,2007,2788,119,119,0,0,0,662,0,0,0,0,0,0,0,0,,,,
733054,,,,,,,,,,,,,,,,,,,,2975,0,30384,281,778,,,,6414,,4,337,,0,13666,0,6551,,,,
733540,,,,,,,,,,,,,,,,,,,113,1048,0,2232,137,260,10,0,0,924,0,0,0,0,0,0,0,0,Debit Card Processing,Passport Settlement,,
733559,,,,,,,,,,,,,,,,,,,0,1365,147,5803,567,611,0,0,0,3680,0,0,0,0,0,0,0,0,,,,
733661,,,,,,,,,,,,,,,,,,,0,528,0,2782,0,1970,0,0,0,284,0,0,1875,0,0,0,0,0,,,,
733755,,,,,,,,,,,,,,,,,,,0,198,0,1074,140,193,0,0,0,683,0,0,0,0,0,0,0,0,,,,
733951,,,,,,,,,,,,,,,,,,,0,3113,471,6568,0,153,0,0,0,2729,0,0,0,0,0,102,0,0,,,,
734248,,,,,,,,,,,,,,,,,,,0,2722,7077,25178,1385,1631,0,0,0,5164,0,0,0,0,0,8584,0,0,,,,
734350,,,,,,,,,,,,,,,,,,,0,3146,1207,19174,396,461,0,0,0,2193,0,0,0,0,0,12167,0,0,,,,
734538,,,,,,,,,,,,,,,,,,,0,6943,7799,64524,5924,5976,0,0,0,5001,0,0,0,0,0,21079,0,17726,,,,
734613,,,,,,,,,,,,,,,,,,,0,534,2094,14657,806,826,18,0,0,1063,0,0,0,0,0,10140,0,0,Prepaid Income Tax,,,
735049,,,,,,,,,,,,,,,,,,,0,0,182,417,0,108,0,0,0,127,0,0,0,0,0,0,0,0,,,,
735067,,,,,,,,,,,,,,,,,,,84,3831,1617,8029,230,442,0,0,0,2139,0,58,9,0,0,0,0,0,,,,
735414,,,,,,,,,,,,,,,,,,,0,238,37,2589,63,63,0,0,0,239,0,0,0,0,0,1031,0,981,,,,
735441,,,,,,,,,,,,,,,,,,,0,8660,66,23784,1292,2238,393,518,0,12820,0,0,0,0,0,0,0,0,ADVANCED CREDIT/DEBIT CARD CLEARING,SHAZAM SETTLEMENT,,
735973,,,,,,,,,,,,,,,,,,,0,455,938,7009,0,80,0,0,0,282,0,0,0,0,0,5254,0,0,,,,
736158,,,,,,,,,,,,,,,,,,,0,172,292,2438,67,71,0,0,0,584,0,0,0,0,0,1319,0,0,,,,
736206,,,,,,,,,,,,,,,,,,,,30081,13610,206583,,111788,,,,15428,48599,,,,0,18097,0,17579,,,,
736550,,,,,,,,,,,,,,,,,,,0,2849,43,7433,422,510,0,0,0,4031,0,0,0,0,0,0,0,0,,,,
737548,,,,,,,,,,,,,,,,,,,0,3118,528,33802,0,6406,5865,0,0,7089,0,0,0,0,0,16661,0,0,1830-5000 Other Assets,,,
738013,,,,,,,,,,,,,,,,,,,0,7224,0,14399,708,2517,0,0,0,4658,0,0,0,0,0,0,0,0,,,,
738040,,,,,,,,,,,,,,,,,,,,21489,3021,87156,1248,1433,,,,27669,,,,,0,29385,0,4159,,,,
738143,,,,,,,,,,,,,,,,,,,0,2403,546,19701,797,1655,0,0,0,3482,0,0,0,0,0,11615,0,0,,,,
738255,,,,,,,,,,,,,,,,,,,,718,1578,6934,377,491,,,,3113,,,,,0,1034,0,0,Artwork and Collectibles,,,
738303,,,,,,,,,,,,,,,,,,,,12379,10394,61992,1757,2655,,,,4363,,,,,0,32201,0,0,,,,
738657,,,,,,,,,,,,,,,,,,,,112,0,1822,,178,,,,470,,,,,0,1062,0,0,,,,
738769,,,,,,,,,,,,,,,,,,,0,5741,6102,49571,2419,3329,0,0,0,5140,0,0,0,0,0,25028,630,3601,,,,
739346,,,,,,,,,,,,,,,,,,,0,880,1550,4183,98,98,0,0,0,1655,0,0,0,0,0,0,0,0,,,,
739355,,,,,,,,,,,,,,,,,,,25,2762,2839,9334,568,593,,,,3140,,,,,0,0,0,0,,,,
739560,,,,,,,,,,,,,,,,,,,,15000,3867,160261,,27234,,,,25654,15524,,,,0,88506,0,0,,,,
739832,,,,,,,,,,,,,,,,,,,0,2899,89,10699,0,309,156,0,0,1896,0,0,0,0,0,5506,0,0,Triad offset,,,
740249,,,,,,,,,,,,,,,,,,,0,1473,0,4400,0,186,0,0,0,2741,0,0,0,0,0,0,0,0,0,,,
741068,,,,,,,,,,,,,,,,,,,0,307,483,1197,0,119,0,0,0,288,0,0,0,0,0,0,0,0,,,,
741152,,,,,,,,,,,,,,,,,,,0,24,0,499,0,93,0,0,0,382,0,0,0,0,0,0,0,0,,,,
741330,,,,,,,,,,,,,,,,,,,,3225,1356,31002,1346,2373,,,,8767,502,,,,0,9535,349,5397,,,,
741358,,,,,,,,,,,,,,,,,,,0,0,0,697,0,162,0,0,0,249,0,0,0,0,0,286,0,0,,,,
741648,,,,,,,,,,,,,,,,,,,0,63,0,2122,0,89,0,0,0,261,0,0,0,0,0,1709,0,0,,,,
741844,,,,,,,,,,,,,,,,,,,0,176,774,4730,0,109,0,0,0,1127,0,0,0,0,0,2544,0,0,Income Tax Receivable,,,
741956,,,,,,,,,,,,,,,,,,,0,471,363,1446,77,77,0,0,0,535,0,0,0,0,0,0,0,0,,,,
741974,,,,,,,,,,,,,,,,,,,0,3269,0,7673,0,588,331,0,0,901,0,0,0,0,0,1915,1000,0,"Lender Risk Reserve, net",,,
742056,,,,,,,,,,,,,,,,,,,292,286,1572,3527,138,482,0,0,0,1187,0,0,0,0,0,0,0,0,,,,
742542,,,,,,,,,,,,,,,,,,,0,523,0,2578,0,24,0,0,0,880,0,0,0,0,0,812,0,339,,,,
742944,,,,,,,,,,,,,,,,,,,,1064,654,10880,216,251,,,,981,,,,,0,7930,0,0,FISERV EFT SETTLEMENT,,Payroll In-Process,
743679,,,,,,,,,,,,,,,,,,,0,3069,6561,22315,0,5988,3883,0,0,2328,0,0,0,0,0,4369,0,0,Right of Use Assets,,,
743950,,,,,,,,,,,,,,,,,,,0,87,765,2243,0,88,0,0,0,384,0,0,0,0,0,919,0,0,,,,
744854,,,,,,,,,,,,,,,,,,,0,421,1964,5670,769,1275,60,0,0,2010,0,0,0,0,0,0,0,0,Current Tax Receivable,,,
745347,,,,,,,,,,,,,,,,,,,,107,1978,5709,,2195,2156,,,1429,,,,,0,0,0,0,MATURING INVESTMENT AND SUBSIDIARY,,,
746157,,,,,,,,,,,,,,,,,,,0,1929,2546,5777,180,235,0,0,0,1067,0,25,0,0,0,0,0,0,,,,
746429,,,,,,,,,,,,,,,,,,,0,4060,3691,24256,838,1955,0,0,0,2000,0,0,0,0,0,12550,0,0,,,,
746755,,,,,,,,,,,,,,,,,,,0,2755,2439,14024,152,285,0,0,0,2578,0,0,133,0,0,5967,0,0,,,,
746942,,,,,,,,,,,,,,,,,,,0,128,0,1524,162,178,16,0,0,1218,0,0,0,0,0,0,0,0,Union Ins Agency,,,
746979,,,,,,,,,,,,,,,,,,,0,107,118,866,148,148,0,0,0,493,0,0,0,0,0,0,0,0,,,,
747051,,,,,,,,,,,,,,,,,,,,486,0,3430,159,163,,,,666,,,,,0,0,0,2115,,,,
747257,,,,,,,,,,,,,,,,,,,0,2357,0,8020,194,329,117,0,0,1358,0,0,0,0,0,3976,0,0,Interest Receivables - US Securities,,,
748254,,,,,,,,,,,,,,,,,,,0,1035,4439,12973,412,629,182,0,0,1286,0,0,0,0,0,5584,0,0,FiServe EFT Escrow,,,
748357,,,,,,,,,,,,,,,,,,,0,463,335,2357,134,1006,871,0,0,553,0,0,0,0,0,0,0,0,PM Holdings,,,
748441,,,,,,,,,,,,,,,,,,,0,864,0,2545,168,1019,0,0,0,662,0,65,0,0,0,0,0,0,,,,
748964,,,,,,,,,,,,,,,,,,,0,2492,0,16361,252,255,0,0,0,3119,0,0,0,0,0,10495,0,0,,,,
749242,,,,,,,,,,,,,,,,,,,,41821,96960,695303,,104005,,,,64726,38275,,,,0,314821,6525,66445,,,,
749635,,,,,,,,,,,,,,,,,,,0,1361,11190,37138,1166,4094,0,0,0,3182,0,0,2403,0,0,17311,0,0,,,,
749840,,,,,,,,,,,,,,,,,,,0,106,35,340,0,0,0,0,0,199,0,0,0,0,0,0,0,0,,,,
749943,,,,,,,,,,,,,,,,,,,135,0,235,3114,0,299,0,0,0,2580,0,0,0,0,0,0,0,0,,,,
750051,,,,,,,,,,,,,,,,,,,0,231,0,2469,565,604,0,0,0,1634,0,37,0,0,0,0,0,0,,,,
750127,,,,,,,,,,,,,,,,,,,0,284,2049,4251,703,715,0,0,0,1203,0,12,0,0,0,0,0,0,,,,
750341,,,,,,,,,,,,,,,,,,,0,1512,1201,13603,373,427,0,0,0,1587,0,0,0,0,0,6841,0,2035,,,,
750444,,,,,,,,,,,,,,,,,,,0,182,226,1505,119,126,0,0,0,971,0,0,0,0,0,0,0,0,,,,
750846,,,,,,,,,,,,,,,,,,,0,66,288,3251,0,57,0,0,0,1306,0,0,0,0,0,1534,0,0,,,,
751254,,,,,,,,,,,,,,,,,,,0,1969,4923,11053,0,1585,0,0,0,2576,0,0,0,0,0,0,0,0,,,,
751656,,,,,,,,,,,,,,,,,,,35,23479,0,97902,4231,5383,,,,18676,,,970,,0,50364,0,0,ICS Receivable Clearing,,,
751852,,,,,,,,,,,,,,,,,,,0,1296,0,6631,228,1072,0,0,0,1234,0,0,445,0,0,1443,1586,0,,,,
752831,,,,,,,,,,,,,,,,,,,0,285,2666,5874,1382,1382,0,0,0,1541,0,0,0,0,0,0,0,0,,,,
753052,,,,,,,,,,,,,,,,,,,0,0,0,714,0,0,0,0,0,714,0,0,0,0,0,0,0,0,,,,
753324,,,,,,,,,,,,,,,,,,,0,8780,9614,80953,0,27452,0,0,0,5005,0,0,0,0,0,30102,0,0,,,,
753641,,,,,,,,,,,,,,,,,,,0,275,316,3800,89,185,0,0,0,216,0,0,0,0,0,2808,0,0,,,,
753856,,,,,,,,,,,,,,,,,,,0,0,0,895,0,390,191,0,0,505,0,0,196,0,0,0,0,0,Precious Metal,,,
754068,,,,,,,,,,,,,,,,,,,0,5097,1735,12180,0,2938,0,0,0,2410,0,0,2082,0,0,0,0,0,,,,
754246,,,,,,,,,,,,,,,,,,,0,52,0,1375,226,229,0,0,0,1094,0,0,0,0,0,0,0,0,,,,
754536,,,,,,,,,,,,,,,,,,,0,495,0,2425,74,315,39,71,0,547,0,0,0,0,0,1068,0,0,INTEREST EARNED NOT COLL - TAX E,IBAA INC,,
754826,,,,,,,,,,,,,,,,,,,0,3295,5539,23817,2152,3820,1072,0,0,4827,0,0,0,0,0,3285,0,3051,EFT RESERVE,.,,
754853,,,,,,,,,,,,,,,,,,,0,6630,8414,38618,1557,3015,0,0,0,6348,0,0,0,0,0,13074,1137,0,,,,
754929,,,,,,,,,,,,,,,,,,,,1895,18393,93952,15575,20006,,,,6615,,,,,0,45096,0,1947,,,,
755252,,,,,,,,,,,,,,,,,,,0,3555,0,21319,521,1237,0,0,0,3904,586,0,0,0,0,12623,0,0,,,,
755421,,,,,,,,,,,,,,,,,,,0,132,79,597,0,74,0,0,0,312,0,0,0,0,0,0,0,0,,,,
755458,,,,,,,,,,,,,,,,,,,0,5329,0,8345,280,832,0,0,0,2184,0,240,0,0,0,0,0,0,,,,
756343,,,,,,,,,,,,,,,,,,,0,745,0,6105,590,622,0,0,0,1641,0,0,0,0,0,3097,0,0,,,,
756848,,,,,,,,,,,,,,,,,,,0,483,0,5249,0,216,0,0,0,2541,0,0,0,0,0,2009,0,0,,,,
757377,,,,,,,,,,,,,,,,,,,0,2546,8659,21096,1228,5000,3529,0,0,2677,0,0,242,0,0,2214,0,0,Benefit Plans Adjustment,N/A,N/A,
757452,,,,,,,,,,,,,,,,,,,,2415,2089,6864,397,945,,,,1415,,,,,0,0,0,0,,,,
757779,,,,,,,,,,,,,,,,,,,0,758,480,7920,350,350,0,0,0,996,0,0,0,0,0,1716,0,3620,,,,
758703,,,,,,,,,,,,,,,,,,,,33309,36028,297973,,118519,,,,25017,55859,,,,171,40706,32349,11874,,,,
758842,,,,,,,,,,,,,,,,,,,0,467,141,4001,72,87,0,0,0,1368,0,0,0,0,0,1004,0,934,,,,
758851,,,,,,,,,,,,,,,,,,,0,3848,0,29529,0,5974,0,0,0,11327,0,2902,0,0,0,8380,0,0,,,,
759045,,,,,,,,,,,,,,,,,,,0,2219,0,19513,294,1011,503,0,0,2813,0,0,0,0,0,13470,0,0,NON-FOR-PROFIT INVESTMENTS,,,
759625,,,,,,,,,,,,,,,,,,,0,1536,2209,16556,0,5790,1506,0,0,2573,0,0,0,0,0,4448,0,0,Misc Assets,,,
760210,,,,,,,,,,,,,,,,,,,0,166,597,5943,185,200,0,0,0,390,0,0,0,0,0,4590,0,0,,,,
760331,,,,,,,,,,,,,,,,,,,0,651,0,4677,954,1257,0,0,0,2769,0,0,0,0,0,0,0,0,,,,
760340,,,,,,,,,,,,,,,,,,,0,1109,0,4332,156,943,214,340,0,1223,0,0,0,0,0,1057,0,0,Prin Rec-Mortback,Misc. Account Receivable,,
760434,,,,,,,,,,,,,,,,,,,,284,0,3408,,104,,,,2417,,,,,0,603,0,0,,,,
760649,,,,,,,,,,,,,,,,,,,0,325,0,2112,0,288,0,0,0,1499,0,0,0,0,0,0,0,0,,,,
760854,,,,,,,,,,,,,,,,,,,0,691,17746,47805,1649,3011,0,0,0,5151,0,0,0,0,0,17487,0,3719,,,,
760939,,,,,,,,,,,,,,,,,,,0,50,433,2640,99,115,0,0,0,330,0,0,0,0,0,1712,0,0,,,,
760957,,,,,,,,,,,,,,,,,,,0,250,1517,2825,335,425,0,0,0,633,0,0,0,0,0,0,0,0,,,,
761244,,,,,,,,,,,,,,,,,,,0,1125,2064,14968,174,1062,0,0,0,2379,0,310,0,0,0,8338,0,0,,,,
761459,,,,,,,,,,,,,,,,,,,0,265,1793,3782,0,153,0,0,0,1571,0,0,0,0,0,0,0,0,,,,
761543,,,,,,,,,,,,,,,,,,,0,980,3148,13265,142,227,0,0,0,3373,0,0,0,0,0,5537,0,0,,,,
761806,,,,,,,,,,,,,,,,,,,,388288,446005,2682102,,263738,,,,342704,,,,,0,695013,443657,102697,,,,
761833,,,,,,,,,,,,,,,,,,,,0,418,5015,248,2687,,1642,,1717,,14,783,,0,193,0,0,,Officer SERP,,
761851,,,,,,,,,,,,,,,,,,,0,4889,0,15304,0,0,0,0,0,6141,0,0,0,0,0,4274,0,0,,OTHER ASSETS,,
761954,,,,,,,,,,,,,,,,,,,0,491,0,4224,0,1778,1660,0,0,1955,0,0,0,0,0,0,0,0,ROU R/E LEASES,,,
762045,,,,,,,,,,,,,,,,,,,0,1848,2,8055,0,377,0,0,0,1336,0,0,0,0,0,4492,0,0,,,,
762447,,,,,,,,,,,,,,,,,,,,34603,67344,348550,,40864,17703,,,37300,,,,,0,138540,0,29899,CURRENT FEDERAL TAX BENEFIT,,,
762474,,,,,,,,,,,,,,,,,,,0,27071,826,132466,0,15157,0,0,0,16504,0,0,0,0,0,66623,0,6285,Unsettled investments receivable,Advance for negative escrow serviced loans,,
762773,,,,,,,,,,,,,,,,,,,0,319,1238,10148,1492,7354,0,0,0,1237,0,0,417,0,0,0,0,0,,,,
763211,,,,,,,,,,,,,,,,,,,0,900,5204,7687,0,493,283,0,0,1090,0,0,0,0,0,0,0,0,Pending Recalled Wire Transfer,,,
763677,,,,,,,,,,,,,,,,,,,32,1041,13943,51842,1055,3219,0,0,0,5339,0,130,0,0,0,24260,0,4040,Investment Payments Receivable,,,
763930,,,,,,,,,,,,,,,,,,,0,1174,5187,13406,564,830,232,0,0,6151,0,0,0,0,0,64,0,0,Supplies Inventory,,,
764030,,,,,,,,,,,,,,,,,,,,49510,61373,721488,,144154,,,,89993,,,,,0,339628,12637,24193,,,,
764058,,,,,,,,,,,,,,,,,,,0,4293,0,12379,0,4312,1959,0,0,3774,0,0,0,0,0,0,0,0,Deferred Compensation Asset,,,
764067,,,,,,,,,,,,,,,,,,,0,366,0,1849,195,195,0,0,0,1288,0,0,0,0,0,0,0,0,,,,
764142,,,,,,,,,,,,,,,,,,,0,1518,201,5765,240,284,0,0,0,890,0,9,0,0,0,0,0,2872,,,,
764151,,,,,,,,,,,,,,,,,,,42,99,0,1716,106,148,0,0,0,280,0,0,0,0,0,1189,0,0,,,,
764816,,,,,,,,,,,,,,,,,,,0,742,0,4413,260,267,0,0,0,874,0,0,0,0,0,2530,0,0,,,,
765318,,,,,,,,,,,,,,,,,,,0,432,0,6886,0,516,252,129,0,912,0,0,0,0,0,2781,2245,0,Prepaid Service Contracts,Prepaid Insurance,,
765354,,,,,,,,,,,,,,,,,,,,260,0,1041,116,126,,,,655,,,,,0,0,0,0,,,,
765505,,,,,,,,,,,,,,,,,,,,5893,7889,44719,1596,4993,,,,4365,2346,,,,0,21579,0,0,,,,
765662,,,,,,,,,,,,,,,,,,,0,1122,0,5457,0,18,0,0,0,1207,0,0,0,0,0,2244,0,866,,,,
765877,,,,,,,,,,,,,,,,,,,0,416,614,6073,117,239,0,0,0,634,0,0,0,0,0,4170,0,0,,,,
766052,,,,,,,,,,,,,,,,,,,0,75,0,1070,0,57,0,0,0,938,0,0,0,0,0,0,0,0,,,,
766164,,,,,,,,,,,,,,,,,,,,77252,6404,240181,,79618,,,,37497,,30582,,,0,13866,24608,936,,,,
767152,,,,,,,,,,,,,,,,,,,,70,193,527,46,46,,,,218,,,,,0,0,0,0,,,,
767246,,,,,,,,,,,,,,,,,,,0,0,0,636,4,435,431,0,0,201,0,0,0,0,0,0,0,0,FIXED RATE ANNUITIES,,,
767255,,,,,,,,,,,,,,,,,,,0,755,0,8449,182,219,0,0,0,1330,0,0,0,0,0,4645,109,1391,,,,
767554,,,,,,,,,,,,,,,,,,,0,443,0,5364,0,376,132,0,0,635,0,0,0,0,0,3910,0,0,dda unposted,,,
767572,,,,,,,,,,,,,,,,,,,0,414,99,1528,64,72,0,0,0,143,0,0,0,0,0,800,0,0,,,,
767611,,,,,,,,,,,,,,,,,,,,246,1933,8711,238,984,625,,,825,,,,,0,4723,0,0,ACCRUED PENSION LIABILITY,,,
767732,,,,,,,,,,,,,,,,,,,0,425,5578,30350,1443,4531,2432,0,0,4357,0,0,0,0,0,15459,0,0,Construction in Process,,,
767974,,,,,,,,,,,,,,,,,,,0,9830,4468,83117,0,32706,22897,0,0,9431,0,0,0,0,0,26682,0,0,Tax Credit Investments,,,
768074,,,,,,,,,,,,,,,,,,,0,8823,2348,67327,0,11156,0,0,0,6632,7980,0,0,0,0,24998,0,13370,,,,
768458,,,,,,,,,,,,,,,,,,,,487,0,5645,340,406,,,,754,,,,,0,3998,0,0,,,,
768476,,,,,,,,,,,,,,,,,,,0,917,0,1238,0,89,0,0,0,232,0,0,0,0,0,0,0,0,,,,
768953,,,,,,,,,,,,,,,,,,,0,7409,7107,36852,0,13118,0,0,0,2900,0,0,0,0,0,6318,0,0,,,,
769156,,,,,,,,,,,,,,,,,,,0,605,1012,2665,0,255,0,0,0,793,0,0,0,0,0,0,0,0,Earnings Tax Credit Payable,,,
769334,,,,,,,,,,,,,,,,,,,0,281,0,2632,93,94,0,0,0,821,0,0,0,0,0,732,0,704,,,,
770451,,,,,,,,,,,,,,,,,,,0,473,0,5357,0,157,0,0,0,2090,0,0,0,0,0,2637,0,0,,,,
770545,,,,,,,,,,,,,,,,,,,0,116,0,372,0,31,0,0,0,225,0,0,0,0,0,0,0,0,,,,
770639,,,,,,,,,,,,,,,,,,,0,676,1942,3912,161,332,0,0,0,962,0,0,171,0,0,0,0,0,,,,
770657,,,,,,,,,,,,,,,,,,,0,2028,0,31436,954,2869,1382,0,0,9823,0,208,0,0,0,8977,0,7739,OPERATING DEPOSITS HOLDING,,,
770853,,,,,,,,,,,,,,,,,,,0,3721,0,10837,218,506,132,0,0,3291,0,0,0,0,0,1457,0,1862,Investment in Solar Tax Credits,0,,
771047,,,,,,,,,,,,,,,,,,,0,227,0,1643,47,59,8,4,0,602,0,0,0,0,0,755,0,0,SBA PRINCIPAL RECEIVABLES,CD INTEREST RECEIVABLES,ACC INT PD ON INVEST PURCH,
771140,,,,,,,,,,,,,,,,,,,,6725,15235,58412,1101,3158,,,,8932,1001,52,,,0,24362,0,0,,,,
771458,,,,,,,,,,,,,,,,,,,0,3150,0,48942,871,1849,0,0,0,7599,0,0,0,0,0,32393,0,3951,,,,
771609,,,,,,,,,,,,,,,,,,,0,13149,9361,123952,0,54116,0,0,17372,10587,0,0,0,0,0,36739,0,0,Other Misc Assets,Equity Method Investments,Employer Contribution Pension,
771748,,,,,,,,,,,,,,,,,,,0,118,775,2805,196,249,0,0,0,1663,0,0,53,0,0,0,0,0,144100 COIN,,,
771878,,,,,,,,,,,,,,,,,,,0,2429,2429,20075,426,957,0,0,0,1332,0,0,531,0,0,4503,0,8425,,,,
772008,,,,,,,,,,,,,,,,,,,0,3132,17859,63687,0,8379,0,0,0,7032,4529,0,0,0,0,27285,0,0,,,,
772446,,,,,,,,,,,,,,,,,,,0,252,1736,36895,0,34907,0,0,0,0,0,0,34019,0,0,0,0,0,,,,
772754,,,,,,,,,,,,,,,,,,,0,92,0,1270,0,22,0,0,0,1156,0,0,0,0,0,0,0,0,,,,
773032,,,,,,,,,,,,,,,,,,,,120,0,2295,175,208,,,,819,,,,,0,1148,0,0,,,,
773171,,,,,,,,,,,,,,,,,,,6,687,0,1312,218,239,0,0,0,386,0,0,14,0,0,0,0,0,,,,
773247,,,,,,,,,,,,,,,,,,,,49001,29034,474571,,163581,47236,48757,,25744,,,,,0,190528,3985,12698,Equipment for use by others,CDC Investments,,
773443,,,,,,,,,,,,,,,,,,,,632,0,8718,,5780,1352,,,2306,,,,,0,0,0,0,Supplemental Retirement Trust,,,
773470,,,,,,,,,,,,,,,,,,,0,9204,0,15958,0,1809,458,0,0,4945,0,0,0,0,0,0,0,0,Brokered Deposit Fees Yield Adjustment,,,
773742,,,,,,,,,,,,,,,,,,,0,2820,8205,20941,1593,1593,0,0,0,1464,0,0,0,0,0,5384,0,1475,,,,
774132,,,,,,,,,,,,,,,,,,,0,901,820,28506,2076,3140,0,0,0,3449,0,0,0,0,0,15563,0,4633,,,,
774235,,,,,,,,,,,,,,,,,,,0,269,712,7014,269,455,0,0,0,954,0,0,0,0,0,4624,0,0,,,,
774253,,,,,,,,,,,,,,,,,,,0,387,0,1902,0,75,0,0,0,362,0,0,0,0,0,1078,0,0,,,,
774347,,,,,,,,,,,,,,,,,,,1,521,350,10904,0,618,22,36,16,2047,0,0,0,0,0,7368,0,0,Prepaid Maintenance,Prepaid Insurance,Prepaid Brokered CD Fee,
775054,,,,,,,,,,,,,,,,,,,0,1769,0,21138,724,769,0,0,0,5054,0,0,0,0,0,11720,0,1826,,,,
775241,,,,,,,,,,,,,,,,,,,,108,139,799,,61,,,,491,,,,,0,0,0,0,,,,
775456,,,,,,,,,,,,,,,,,,,0,6703,0,30888,2090,2694,0,0,0,5691,0,0,0,0,0,13323,0,2477,,,,
775773,,,,,,,,,,,,,,,,,,,0,654,3561,15747,338,1113,0,0,0,872,0,0,620,0,0,9547,0,0,,,,
776369,,,,,,,,,,,,,,,,,,,0,0,706,5707,210,252,0,0,0,918,0,0,0,0,0,3831,0,0,,,,
776547,,,,,,,,,,,,,,,,,,,,2206,2597,15024,,22,,,,2470,,,,,0,7059,0,670,,,,
777254,,,,,,,,,,,,,,,,,,,0,1367,0,3073,0,48,0,0,0,592,0,0,0,0,0,1066,0,0,,,,
777366,,6523,7622,25096,587,3081,,,,4530,,14,,,0,3340,0,0,,6523,,,,,,,,,,,,,,,,,,,,
777441,,,,,,,,,,,,,,,,,,,0,324,1686,6697,69,1801,1436,222,0,612,0,0,74,0,0,2274,0,0,"TRIAD, CIS, AND LHFS DEALER PREPAID",PREPAID INC TAXES STATE AND FED,TRIAD ESCROW EXPENSE,
